Dataset,Fold,MAE,MedAE,R2
Eawag_XBridgeC18,0,69.69302760532923,57.7828369140625,0.8383736379887161
Eawag_XBridgeC18,1,89.18031093052456,42.35797119140625,0.48720490499111857
Eawag_XBridgeC18,2,70.84329398018973,37.837432861328125,0.8066009123731596
Eawag_XBridgeC18,3,62.293487548828125,40.96441650390625,0.9120692282775781
Eawag_XBridgeC18,4,60.15714460100446,41.29888916015625,0.8151601089366822
Eawag_XBridgeC18,5,62.96121709487017,40.59968566894531,0.8375202369442487
Eawag_XBridgeC18,6,82.2313299740062,38.61521911621094,0.5266296442684836
Eawag_XBridgeC18,7,56.71652266558479,41.13185119628906,0.9122009799230668
Eawag_XBridgeC18,8,64.6940523035386,49.2791748046875,0.841940497140687
Eawag_XBridgeC18,9,59.19506970573874,29.929901123046875,0.8568849667391749

Eawag_XBridgeC18,Average,67.7965 ± 9.9845,41.9797 ± 6.9351,0.7835 ± 0.1425
