Dataset,Fold,MAE,MedAE,R2
MPI_Symmetry,0,219.32298879160157,87.91313222421877,-3.4822658873927814
MPI_Symmetry,1,151.7888616333008,101.9505730980469,-1.6053692750709239
MPI_Symmetry,2,51.3371182190625,46.21554990468752,0.94462939083037
MPI_Symmetry,3,118.80322306142577,118.50851731191405,0.839740786229666
MPI_Symmetry,4,65.21537372929691,72.08481215585942,0.10969760346628354
MPI_Symmetry,5,114.76079570078127,112.86904838867187,0.850186434770951
MPI_Symmetry,6,233.2930047657422,276.40486182640626,0.4146019251960027
MPI_Symmetry,7,173.1594945678711,182.52091015624998,-2.422992416033781
MPI_Symmetry,8,101.18812588046876,54.35469384765622,-84.24212135894237
MPI_Symmetry,9,133.01475380546876,94.2816197265625,0.7340166690671017

MPI_Symmetry,Average,136.1884 ± 56.7312,114.7104 ± 64.9698,-8.7860 ± 25.1961
