Dataset,Fold,MAE,MedAE,R2
PFR-TK72,0,180.65960693359378,185.7206970214844,0.10917253261202242
PFR-TK72,1,56.61189422607422,20.05469970703126,0.4220753282493588
PFR-TK72,2,156.43464050292968,143.44161682128907,0.8137165541519796
PFR-TK72,3,69.39771728515626,66.38857727050782,0.9123135559886284
PFR-TK72,4,27.411293029785163,27.03328857421876,0.9334037137752866
PFR-TK72,5,90.82358856201174,69.79953002929692,0.8844430640247507
PFR-TK72,6,31.693898010253903,22.77094116210938,0.5132305105470425
PFR-TK72,7,116.27604370117189,113.15038452148438,-0.8810992563099562
PFR-TK72,8,40.52726847330729,39.2227783203125,0.5331678546194867
PFR-TK72,9,294.946044921875,256.17694091796875,0.21596152127026247

PFR-TK72,Average,106.4782 ± 79.9469,94.3759 ± 75.4311,0.4456 ± 0.5218
