Dataset,Fold,MAE,MedAE,R2
RIKEN,0,72.61903261882503,21.548736572265625,-0.28865366064173004
RIKEN,1,81.85032549974396,25.343597412109375,0.5055103505137892
RIKEN,2,88.04162930372283,20.728300476074217,0.22895751173977574
RIKEN,3,64.29548855293088,29.625712280273433,0.2990564015325857
RIKEN,4,72.61644380522937,18.654494323730468,-0.23731199848062356
RIKEN,5,63.4979073389565,28.98876190185547,0.6974885735849421
RIKEN,6,56.229631295553055,24.0805737304687,0.7444925497010755
RIKEN,7,79.33857473233853,28.5075814819336,-0.24480894477213044
RIKEN,8,50.476296025718135,15.516592407226563,0.7066515079118953
RIKEN,9,54.81955675078601,23.47937774658203,0.7242436335778826

RIKEN,Average,68.3785 ± 11.9022,23.6474 ± 4.4153,0.3136 ± 0.4097
